x y p
1.198261128858315372e+00 3.584185467249843549e-01 7.388849601496947805e+00
1.202358972017437466e+00 3.842059992487814601e-01 1.742315247982432425e+00
1.192837527210414139e+00 3.713004837247054768e-01 -1.503459932567620116e-01
1.207780630851303938e+00 3.713223131184508752e-01 8.417278876633307760e+00
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.198261128858315372e+00 3.584185467249843549e-01 7.388849601496947805e+00
1.209120355126850344e+00 3.326569221503571372e-01 1.198557101410324854e+01
1.213205649193453750e+00 3.584395912073273793e-01 1.369160052555440465e+01
1.203688659404454908e+00 3.455374414894331059e-01 1.198885121143980825e+01
1.218634361629389096e+00 3.455576511433517961e-01 1.636053880737096478e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.209120355126850344e+00 3.326569221503571372e-01 1.198557101410324854e+01
1.219996670250279580e+00 3.068967946611894648e-01 4.967746442171492305e+00
1.224066992553860977e+00 3.326763117455774910e-01 1.793603579394394743e+01
1.214556344032258872e+00 3.197767681942573770e-01 9.447117605708722721e+00
1.229503676359526398e+00 3.197954065220622311e-01 1.799307504138904790e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.219996670250279580e+00 3.068967946611894648e-01 4.967746442171492305e+00
1.231114845381081402e+00 2.812757179052825518e-01 4.911659630565237578e+00
1.234944477141567853e+00 3.069147927188505820e-01 1.994368990667644326e+01
1.225553648911991145e+00 2.940862922230874643e-01 4.775506071439972189e+00
1.240501726121000958e+00 2.941038084031440958e-01 2.317887371471483959e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
1.231114845381081402e+00 2.812757179052825518e-01 4.911659630565237578e+00
1.242432881588075855e+00 2.556218392968646058e-01 -3.677905890526223232e+01
1.246154690900460826e+00 2.812767582496236152e-01 2.675909706025632318e+01
1.236771837940395802e+00 2.684488520130723921e-01 -8.342209188546744869e+00
1.251811683191124347e+00 2.684497463694114905e-01 1.850189985215111577e+01
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.242432881588075855e+00 2.556218392968646058e-01 -3.677905890526223232e+01
1.253766781001512731e+00 2.299674480567414359e-01 -5.589071592145194245e+01
1.257472644756283175e+00 2.556227526104861147e-01 -4.617221633261902269e+00
1.248097887877746892e+00 2.427946929301439682e-01 -5.494130317714150635e+01
1.263137518225995848e+00 2.427957780375817332e-01 -2.293479669171405888e+01
1.253766781001512731e+00 2.299674480567414359e-01 -5.589071592145194245e+01
1.265116016166416779e+00 2.043128640931978768e-01 -6.787638941112602708e+01
1.283845339228725457e+00 2.299717625713743607e-01 -2.163099243468135668e+01
1.259439503021022144e+00 2.171401535807264693e-01 -5.809478472624488887e+01
1.274478812326716559e+00 2.171419607090422921e-01 -3.786784010877024542e+01
1.268806253620403668e+00 2.299688389902324326e-01 -3.278728815595442114e+01
1.259375764093688899e+00 1.531781818007773299e-01 -2.651176439521494785e+02
1.247199211957991993e+00 1.787456204593906584e-01 -1.956157650840504232e+02
1.277276712597508634e+00 1.787482512834801807e-01 -1.251961783447407015e+02
1.253285634544748284e+00 1.659617862595881566e-01 -2.311049058390387643e+02
1.262237897762845229e+00 1.787460981602642385e-01 -1.618931933752656676e+02
1.268324054339344586e+00 1.659632495491074611e-01 -1.976314497952216698e+02
1.259375764093688899e+00 1.531781818007773299e-01 -2.651176439521494785e+02
1.229300660841608162e+00 1.531783405817863097e-01 -3.299869436177054922e+02
